cerevisae;Concentration;0;12.33;33.67;56.67;81;104.67;125.67;150.67;174.33;200;226.33;255.67;293.33;328.33;365.33;430.33;493;550;610;670;730;790;1690
cerevisae;0.01;0.05835;0.0995;0.07025;0.06505;0.1708;0.1061;0.1569;0.0978;0.0773;0.1335;0.10985;0.07025;0.1609;0.0622;0.0716;0.06305;1.29765;1.6274;1.60415;1.50265;0.06755;0.214225;0.0945
cerevisae;0.01;0.0597;0.0832;0.0585;0.07815;0.07065;0.0861;0.08515;0.15685;0.07825;0.1053;0.1947;0.1248;0.113;0.06925;0.08125;0.0792;1.4599;1.6123;1.44455;1.2668;0.07125;0.030975;0.12285
cerevisae;0.01;0.06185;0.05835;0.06535;0.0625;0.07935;0.2299;0.19145;0.088;0.07385;0.0862;0.174;0.13315;0.08455;0.0792;0.06045;0.07615;1.65105;1.4645;1.42275;1.38815;0.06955;0.024425;0.09745
cerevisae;0.1;0.0827;0.10105;0.12205;0.1488;0.10645;0.12945;0.1824;0.19735;0.1447;0.0997;0.09245;0.14055;0.12465;0.12625;0.19055;0.16795;0.39215;0.5092;0.32795;0.1232;0.54985;0.031225;0.06985
cerevisae;0.1;0.0794;0.1127;0.07695;0.0752;0.1003;0.1079;0.18105;0.19395;0.10465;0.099;0.0952;0.1008;0.1075;0.09035;0.11535;0.0751;0.44745;0.41335;0.07745;0.0718;0.06075;0.010775;0.0918
cerevisae;0.1;0.0951;0.0827;0.07395;0.1465;0.0848;0.1913;0.15275;0.10775;0.10295;0.08535;0.10235;0.0922;0.1933;0.0604;0.1602;0.32075;0.40595;0.19425;0.3674;0.11765;0.07375;0.024475;0.12645
cerevisae;0.4;0.06185;0.1874;0.08785;0.1283;0.13735;0.1338;0.2899;0.276;0.08235;0.17785;0.3666;0.53175;0.436;0.5447;1.06635;1.0285;0.2012;0.10845;0.09385;0.0774;1.2107;1.57565;1.80795
cerevisae;0.4;0.0597;0.2182;0.20345;0.1801;0.1543;0.2386;0.3055;0.24825;0.19925;0.1774;0.21335;0.3224;0.77135;0.98735;0.63495;1.09525;0.2106;0.15075;0.07595;0.08135;1.397;1.4128;2.1996
cerevisae;0.4;0.05835;0.19445;0.1667;0.12475;0.11835;0.1441;0.0929;0.20565;0.29185;0.32295;0.2479;0.31215;0.497;0.6432;0.8612;1.4249;0.0943;0.08545;0.09005;0.073;1.59225;1.33555;1.7574
